user_id,sku_id,time,model_id,type,cate,brand
280567.0,167208,2016-02-29 23:59:01,0.0,6,4,519
270248.0,35533,2016-02-29 23:59:02,111.0,6,4,306
203360.0,78694,2016-02-29 23:59:02,,1,8,244
252369.0,90402,2016-02-29 23:59:03,0.0,6,7,38
279590.0,154208,2016-02-29 23:59:03,0.0,6,5,570
203360.0,78694,2016-02-29 23:59:03,0.0,6,8,244
279590.0,154208,2016-02-29 23:59:03,0.0,6,5,570
279590.0,154208,2016-02-29 23:59:03,,1,5,570
252369.0,90402,2016-02-29 23:59:04,13.0,6,7,38
257109.0,95850,2016-02-29 23:59:04,0.0,6,8,800
271730.0,45149,2016-02-29 23:59:05,,1,9,630
203360.0,78694,2016-02-29 23:59:06,,1,8,244
271730.0,45149,2016-02-29 23:59:06,0.0,6,9,630
279946.0,54265,2016-02-29 23:59:06,0.0,6,5,479
217496.0,59175,2016-02-29 23:59:06,,1,8,545
217496.0,59175,2016-02-29 23:59:06,0.0,6,8,545
228692.0,103132,2016-02-29 23:59:07,0.0,6,8,545
228692.0,103132,2016-02-29 23:59:07,,1,8,545
230932.0,10133,2016-02-29 23:59:07,0.0,6,8,214
298771.0,80499,2016-02-29 23:59:07,,1,4,752
230932.0,10133,2016-02-29 23:59:07,,1,8,214
298771.0,80499,2016-02-29 23:59:07,0.0,6,4,752
203360.0,78694,2016-02-29 23:59:07,0.0,6,8,244
252369.0,90402,2016-02-29 23:59:07,0.0,6,7,38
279946.0,125188,2016-02-29 23:59:07,,1,5,479
279946.0,125188,2016-02-29 23:59:07,0.0,6,5,479
252369.0,90402,2016-02-29 23:59:08,0.0,6,7,38
217496.0,59175,2016-02-29 23:59:09,,1,8,545
217496.0,59175,2016-02-29 23:59:09,0.0,6,8,545
230932.0,10133,2016-02-29 23:59:09,0.0,6,8,214
203360.0,78694,2016-02-29 23:59:09,,1,8,244
298771.0,80499,2016-02-29 23:59:10,17.0,6,4,752
279946.0,125188,2016-02-29 23:59:10,0.0,6,5,479
203360.0,78694,2016-02-29 23:59:10,0.0,6,8,244
279946.0,54265,2016-02-29 23:59:11,0.0,6,5,479
279946.0,54265,2016-02-29 23:59:11,,1,5,479
203360.0,78694,2016-02-29 23:59:12,,1,8,244
272729.0,82031,2016-02-29 23:59:12,0.0,6,9,640
237196.0,103085,2016-02-29 23:59:12,0.0,6,7,741
214690.0,75018,2016-02-29 23:59:12,,1,9,630
203425.0,28443,2016-02-29 23:59:13,,1,6,165
203360.0,78694,2016-02-29 23:59:13,0.0,6,8,244
217496.0,59175,2016-02-29 23:59:13,,1,8,545
217496.0,59175,2016-02-29 23:59:13,0.0,6,8,545
214690.0,75018,2016-02-29 23:59:13,0.0,6,9,630
277610.0,125704,2016-02-29 23:59:14,11.0,6,8,214
272729.0,26229,2016-02-29 23:59:14,,1,9,640
272729.0,26229,2016-02-29 23:59:15,0.0,6,9,640
203360.0,78694,2016-02-29 23:59:15,,1,8,244
279946.0,54265,2016-02-29 23:59:16,0.0,6,5,479
